Word,NOO
hospitalization,332
became,138
weeks,361
31,210
having,235
upper,224
limit,230
type,555
admission,536
odds,113
95,1002
ci,816
lopinavirritonavir,119
lead,321
p,435
medications,147
frequently,188
summary,141
observed,800
prevalence,576
progression,366
frequent,179
monitoring,308
evaluation,347
aim,540
prognosis,295
rare,161
45,113
often,244
extremely,113
markers,145
less,418
infants,131
vertical,159
suggested,298
course,610
increase,634
almost,167
profile,126
form,205
presentation,361
sources,165
reports,632
eight,142
inclusion,103
experienced,138
48,117
35,147
started,169
therefore,713
wide,147
22,240
before,576
considered,582
highlighted,127
group,957
them,498
linked,163
each,475
day,584
without,753
aspects,242
activity,588
if,548
surgery,371
essential,393
how,569
manage,123
access,170
operating,128
positive,2417
aerosol,155
environment,202
until,288
longer,171
necessary,340
healthcare,963
lack,302
safe,299
open,156
numbers,211
because,481
widespread,158
water,140
wastewater,173
air,395
assess,370
survival,136
body,252
short,211
hours,129
days,1338
attack,109
membrane,195
either,228
besides,110
preventive,227
eg,166
protection,378
indicated,209
national,422
then,331
japan,101
south,147
korea,117
scientists,121
find,213
remdesivir,346
efficacy,471
safety,507
promising,310
summarizes,115
searched,171
selected,270
19,387
whom,130
vitro,276
diagnostics,165
primarily,140
medicine,328
when,867
ability,238
limitations,146
sample,398
size,135
applied,210
despite,422
value,347
parameters,232
simple,112
biomarkers,110
objectives,342
single,264
pediatric,321
reporting,239
guidelines,457
insight,107
covid,199
analyzed,563
ten,110
retrospective,300
male,336
age,1045
asthma,129
cardiovascular,547
tested,1043
presented,560
commonly,194
diarrhea,183
median,544
values,301
lymphocyte,216
count,239
ct,870
36,103
bilateral,176
hospitalized,457
interferon,106
hydroxychloroquine,357
showing,135
contrast,106
appear,127
overall,517
additional,302
suggests,348
particularly,417
airway,160
taken,308
4,567
influenza,356
entry,572
target,530
replication,479
recombinant,123
binding,830
inhibitors,465
protease,380
inhibit,185
useful,310
combination,295
direct,443
effect,537
concentrations,164
corticosteroids,113
increases,136
recovery,295
problems,117
inhibitor,168
reducing,198
betacoronavirus,125
species,207
manifestations,808
provides,383
life,220
discovered,109
italy,407
severely,141
critical,781
recorded,142
concerns,194
immunosuppressive,111
consequences,226
mostly,145
multiorgan,151
expected,171
taking,140
immunomodulatory,112
diabetes,559
metaanalysis,122
explore,194
frequency,153
model,659
ratio,285
pooled,141
analyses,230
33,112
combined,243
implications,279
beginning,128
insights,157
design,486
immunological,131
screening,630
b,299
t,359
epitopes,217
proteins,638
set,184
derived,110
spike,858
s,512
mutation,158
targeting,262
offer,123
broad,103
screened,173
guide,156
towards,160
authorities,106
subsequent,161
investigations,148
revealed,443
heart,300
unprecedented,231
action,208
robust,125
17,279
making,144
difficult,135
accurate,164
testing,1710
serological,287
assays,683
igg,745
igm,417
particular,292
compare,136
cdc,133
panel,103
immunity,473
objective,623
crisis,267
challenge,284
manifestation,127
materials,147
documented,146
incidence,413
predicted,198
outbreaks,368
members,239
stages,185
chronic,401
hypertension,289
mellitus,102
cancer,538
much,216
comprehensive,261
containment,185
pulmonary,592
absence,231
efficient,172
investigate,294
sarscov1,147
preliminary,143
cycle,176
old,187
populations,237
growing,156
antisarscov2,228
remain,269
preclinical,106
models,412
approach,540
infect,155
plasma,402
serum,416
blood,753
products,125
considerations,109
areas,355
inactivation,112
resulting,272
fact,117
highest,222
neonates,197
workers,604
carriers,117
finding,165
groundglass,136
involvement,378
correlated,200
way,195
ace,126
expression,654
cells,1609
functions,135
angiotensin,310
ii,319
distribution,216
female,199
widely,218
expressed,205
influence,152
changes,552
tissue,318
account,121
reduce,514
key,573
working,175
clinicians,226
managing,112
effectiveness,194
interventions,401
issue,152
chinese,367
continue,167
share,123
6,381
pressure,133
stage,273
crucial,295
activities,184
site,223
laboratories,228
end,314
28,208
detected,732
mean,382
basic,194
usa,111
trial,288
controlling,131
primary,389
different,1308
preexisting,183
do,222
possibly,126
indicating,120
convalescent,263
strains,158
promote,112
society,193
best,258
practice,330
services,255
evolving,132
prolonged,166
virtual,103
approximately,162
daily,301
coronavirus2,368
subsequently,192
genomic,232
suggesting,269
lymphopenia,135
subjects,296
recognition,129
pathophysiology,177
classified,104
containing,159
detecting,142
produced,116
performance,346
antigen,162
nasopharyngeal,525
specimens,530
100,415
transport,117
successfully,116
culture,119
16,242
sensitive,169
requires,152
strategy,414
relatively,196
techniques,145
detailed,138
tools,196
specimen,159
swabs,521
setting,276
negative,1155
controls,185
point,189
six,266
reduction,267
average,268
duration,263
survey,234
stroke,219
unique,249
authors,193
past,199
nature,141
pathogens,256
targeted,169
organs,198
differences,391
shared,121
lungs,278
inflammation,488
cytokines,248
2sarscov2,204
indicates,102
airborne,148
dental,219
corona,178
close,347
adverse,253
pharmacological,108
vivo,101
work,413
later,251
initial,464
whereas,194
longterm,222
require,235
practical,111
measure,102
directly,200
innate,198
induced,196
pathway,178
psychological,140
media,139
policy,121
needs,208
address,167
application,178
database,243
extracted,118
calculated,122
interaction,366
per,342
four,480
travel,199
systems,528
characterized,282
shortness,110
breath,122
renal,198
contagious,181
least,306
dynamics,278
individual,269
80,138
requiring,219
5,584
structures,143
onset,688
investigated,315
acquired,120
recovered,272
inform,140
prophylactic,102
began,103
confidence,150
interval,249
part,224
india,129
exposed,200
points,149
13,301
lives,123
occur,206
ocular,216
local,331
numerous,158
eye,129
centers,184
administration,191
traditional,171
continues,152
susceptibility,213
predictive,197
timely,161
describes,138
events,290
receiving,123
person,116
whole,160
country,252
reverse,426
gene,422
sequencing,189
university,252
males,125
60,194
years,780
sputum,135
times,227
process,294
kit,129
discussion,126
accuracy,132
false,116
distinct,117
developing,351
died,295
men,141
reduced,296
team,121
provided,267
burden,190
efficiency,121
conserved,123
compounds,374
sites,204
noted,114
benefits,122
typical,169
nevertheless,104
strongly,164
context,328
examine,124
take,123
place,115
identifying,176
intermediate,118
dyspnea,156
invasive,126
lesions,222
proven,183
molecules,251
proper,116
severeacute,134
settings,255
hcq,206
alone,134
radiological,152
temperature,218
difference,209
seems,203
healthy,222
factor,331
moreover,344
cov2,203
presenting,250
50,305
every,139
herein,217
cardiac,357
room,190
protocols,218
participants,422
providers,154
23,239
effectively,162
majority,235
37,102
27,181
exhibited,132
multiple,657
dry,139
presentations,127
together,190
opacities,132
risks,235
effort,104
analyze,175
physical,229
assay,901
sampling,167
consecutive,121
pathology,166
particles,173
women,782
underwent,152
enhanced,113
pattern,157
evolution,269
peripheral,204
65,102
baseline,117
did,388
show,426
examination,195
plays,160
cities,139
antiinflammatory,195
face,224
largely,119
anosmia,163
mental,162
professionals,209
result,535
generally,121
fully,145
tissues,227
means,120
production,251
availability,161
recommend,104
distancing,354
75,108
states,349
clusters,126
facilities,173
government,162
restrictions,107
household,140
delayed,108
regard,120
proportion,270
aged,161
united,290
region,257
growth,106
•,195
20,382
young,112
studied,208
greater,204
though,134
andor,391
good,196
practices,178
respiratorysyndrome,190
mitigate,162
lockdown,356
focusing,113
would,431
challenging,109
physicians,176
barrier,102
platform,112
controlled,168
remained,132
continued,127
european,149
sex,145
c,156
positivity,208
saliva,242
association,431
disorders,252
reliable,162
stability,124
covs,198
affect,246
infectivity,227
disorder,110
corresponding,102
routes,160
indirect,110
conjunctival,104
basis,230
implementation,157
activation,268
docking,221
transcription,211
phylogenetic,151
genomes,205
length,102
full,171
e,135
phase,364
interest,156
actions,105
dynamic,124
change,151
relative,176
us,389
sensitivity,622
vulnerable,194
40,142
stable,125
capacity,268
pain,138
personnel,195
wards,107
long,183
diverse,104
preventing,167
release,148
fusion,161
inhibition,198
improved,209
active,364
mice,117
proinflammatory,158
generated,138
prior,236
pandemics,160
does,166
protect,183
kidney,354
unit,350
icu,355
strong,232
statistical,109
critically,295
year,117
al,128
enrolled,172
serial,102
flow,129
specificity,401
complicated,113
fluid,157
ill,327
sera,131
notably,105
converting,158
assessed,281
facilitate,188
complement,103
immediate,109
bind,107
9,230
improvement,175
immunoglobulin,122
poor,204
cellular,292
rbd,263
beneficial,122
oral,265
serology,111
clinic,118
blockers,107
systemic,346
hiv,162
employed,115
discovery,164
affinity,147
validation,101
200,108
candidate,173
complete,193
mutations,219
food,138
versus,159
demonstrate,208
epithelial,205
functional,196
delivery,312
confirm,134
perform,122
transplant,152
recipients,104
worse,116
p0001,128
selection,152
roles,126
receptors,246
forms,152
helpful,101
alveolar,184
outcome,426
mass,114
little,198
persons,326
aerosols,117
pregnancy,302
pregnant,528
maternal,183
fetal,102
neonatal,189
residues,131
consistent,188
hosts,146
framework,114
predict,166
prospective,156
signaling,120
obesity,251
ie,183
commercial,124
iga,114
70,119
2019covid19,117
unclear,195
woman,115
italian,173
units,196
optimal,151
intubation,106
establish,123
extent,134
toward,101
i,297
avoid,152
birth,136
affects,125
complication,116
retrospectively,158
demographic,165
ddimer,190
fast,124
estimate,173
collection,187
stool,135
ensure,143
source,201
serve,144
interpretation,142
sufficient,103
coinfection,134
month,103
moderate,231
man,136
probability,111
disinfection,119
routine,217
examined,177
bcg,121
brain,241
facing,108
hypothesis,201
vs,423
living,123
area,242
skin,141
residents,188
detectable,102
bacterial,116
disease2019,154
mode,107
properties,209
masks,223
technology,134
minimize,115
assessment,276
elisa,176
analytical,108
tmprss2,193
resources,269
plan,108
probably,122
circulating,106
agreement,170
he,240
none,199
il6,236
induce,101
explain,168
adopted,105
myocardial,189
network,195
elective,160
surgeries,101
discharge,198
oropharyngeal,113
his,154
department,239
validated,146
indicate,238
vital,101
m,106
outpatient,135
policies,111
peptides,146
silico,121
her,133
she,141
energy,113
statistically,105
cannot,135
score,243
germany,104
mpro,215
rdrp,160
surgical,399
atypical,126
patterns,151
gi,123
explored,118
adult,183
variants,136
line,102
s1,108
cohort,355
clearance,118
smell,191
lymphocytes,139
cd8,103
adjusted,105
components,112
leads,128
metabolic,122
coagulation,201
hcws,259
scenario,119
created,119
venous,106
substantial,128
ppe,211
mask,132
rtqpcr,147
concentration,159
regression,171
iqr,186
view,128
vaccination,184
38,111
curve,108
spain,103
analysed,128
ras,165
cns,177
advanced,133
olfactory,195
seroprevalence,108
donors,108
dose,122
taste,167
adaptive,126
estimates,108
titers,119
universal,103
york,102
coagulopathy,103
thrombotic,105
electronic,129
neutralization,102
vitamin,159
vascular,184
endothelial,187
stay,155
±,123
thrombosis,165
