PMID,ADDRESS
32563180,Finland
32917291,Finland
32917292,Finland
32425007,China
32104884,Nepal
32022275,Brazil
32052373,Canada
32526937,China
32574265,United States
32117569,USA
32744708,Korea
32443899,Italy
32440660,Australia
32046819,Netherlands
32212240,Canada
32620183,Canada
32302058,China
32538893,China
32842818,South Africa
32201449,India
32681935,Canada
33087023,Australia
32343939,Australia
32224986,Saudi Arabia
32052841,UK
32160148,UK
32644275,USA
33267752,Australia
33238106,Australia
32393419,China
32981492,China
32503817,Italy
32036774,India
32402329,Italy
32116147,Australia
32306751,USA
32584199,USA
32218151,USA
32019669,Switzerland
32004758,Greece
32544437,China
32473952,Australia
32860259,
33100439,Korea
32655532,Georgia
32829705,Georgia
32437316,Georgia
32518634,Poland
32071427,Israel
32316618,United Arab Emirates
32299330,United Arab Emirates
32074516,Japan
33028181,Australia
32368755,
32393161,
32907528,
32362270,
32495921,India
32335340,Texas
32574317,Australia
32847492,Australia
32364890,Australia
33240654,India
32108351,China
32032682,China
32808976,Belgium
32352944,
32048560,Italy
32681166,
32418307,UK
32022276,India
32692449,USA
32094505,Germany
32710733,Germany
32080991,Korea
32141570,Saudi Arabia
32166600,China
32155431,UK
32170560,China
32194034,Singapore
32007135,China
32043978,UK
32492197,Iran
32599245,India
32548651,Deutschland
32421910,Korea
32640179,Dana
32587153,India
32437926,China
32315809,China
32965016,China
32515404,USA
32344177,France
32114744,China
32206694,India
32512290,France
32269100,USA
32518636,Italy
33172405,Iran
33027607,Iran
32227642,Singapore
32194944,Hong Kong
32959032,USA
32720031,Italy
32293083,Italy
33064679,Mexico
32269766,UK
32060789,China
33037572,China
32181483,China
32070391,China
32187929,China
32088598,Finland
32391309,China
32322107,Germany
32363707,China
32582719,China
32027812,China
32530929,United States
32536226,Iran
32247931,China
32186951,China
32597484,Brazil
32698862,Iran
32351056,China
32415481,China
32960938,China
32198708,China
32850916,United States
32300496,Shanghai
32511449,USA
32817221,USA
32164082,China
32171622,
32922406,China
32853492,
32603290,
32817773,Niger
32081569,
32100667,
32883744,USA
32989996,USA
32798373,India
32234465,China
32462501,France
32683296,Iran
32019667,France
32219625,China
32200634,China
32294051,China
32461287,USA
32391371,Switzerland
32496715,Russia
32608516,Turkey
32294518,Uruguay
32591666,Iran
32599282,Japan
32643980,China
32557648,Iran
32162456,Canada
32142938,Japan
32301750,Italy
32143123,Germany
32749643,India
33272175,
32973803,United States
32592048,Iran
32938761,Texas
32606467,Texas
32730735,Texas
32320687,USA
32060933,Germany
33014380,China
32051072,China
32112887,China
33086857,China
32603652,China
32604842,Algeria
32551560,China
32351851,USA
33140943,Russia
32990100,United Arab Emirates
33238848,Turkey
32325129,China
32271374,China
32191174,
32856065,India
32546867,India
32405164,France
32614765,France
32549526,Korea
32448490,Iran
33138197,Malaysia
32723433,Malaysia
32597077,China
32497323,China
32940187,Russia
32711184,Ireland
32291906,China
32451533,
32800237,Iran
33177397,Taiwan
32985202,Taiwan
33072695,
32821332,Canada
32838716,Canada
32139462,China
33015712,
32407746,China
32901820,China
33052305,USA
33065808,China
32275264,Italy
33078827,
32380200,China
32434888,Poland
32178970,
32645661,China
32636919,USA
32962613,India
32850978,Singapore
32564047,Poland
32844798,Bangladesh
32537771,Poland
33218097,Kuwait
32977575,Korea
32361082,China
33098401,Texas
33274731,
32631666,Italy
32716648,Iran
32049463,
32502116,Taiwan
32522307,Iran
32387085,Canada
33160563,India
33160564,UK
32818421,UK
32961082,China
32301630,
32294816,China
32683221,Pakistan
32956612,Pakistan
32764372,Israel
32786273,Korea
33194423,USA
32703419,China
32516374,Taiwan
33068880,UK
32711328,Italy
33076874,Italy
32439572,United Kingdom
32394842,China
33072702,China
32318328,China
32767940,India
32573788,Pakistan
32912123,China
32905393,China
32768268,France
32802318,India
32762214,
33009914,China
32803762,Iran
32849449,India
33071558,Italy
33121615,USA
32294817,China
33224734,Turkey
33102628,India
33143371,Italy
32341947,USA
32977949,Taiwan
33069201,India
32742701,Canada
33236433,Italy
32903503,Korea
32902940,China
32844799,Bangladesh
33254708,Niger
33042771,India
33160565,UK
32391384,France
32633414,Vietnam
32550078,USA
33081907,China
32831518,
33242027,Italy
32528615,Niger
33219814,Niger
33275956,Italy
32745925,Egypt
32634041,Iran
33035448,Iran
32491982,Iran
33198855,China
32434963,India
32388750,Japan
32836709,India
32642390,USA
32281897,Greece
32374013,China
32579876,China
32576357,China
32452469,Madrid
32838801,Iran
32991148,Iran
32831522,Morocco
32726217,China
32753027,India
32510339,Denmark
32335161,Italy
33100032,Italy
32714104,
32949663,China
32641092,Italy
32485473,Ecuador
32842326,China
32419926,USA
32650037,Japan
32367213,UK
32190890,
32579874,
32143502,USA
32428303,Egypt
32920648,Germany
32432977,China
33063773,Poland
32334088,Italy
32397847,
32703893,USA
32888013,USA
32421495,USA
32558639,USA
32115186,Canada
33059711,Philippines
32197060,Philippines
32469504,Pakistan
32421494,Pakistan
33082537,Pakistan
32057769,France
32661414,France
32350479,France
32603829,India
32113880,China
32810867,
32149769,China
32730734,China
32416599,Germany
32091386,Germany
32234130,China
32226285,China
32017984,China
32700672,Germany
32313886,Italy
32127517,China
32471205,Spain
32164088,Spain
33143619,China
32283450,Australia
32088335,Australia
32232217,Iran
32359479,China
32243297,Germany
32407758,United States
32031583,Hong Kong
32207679,Hong Kong
32627758,Korea
32853545,Germany
32758345,Germany
32454157,USA
32362344,China
32240078,China
31987001,China
32102625,China
32635753,China
32620178,China
32552642,
32588588,Poland
32606457,Poland
32393874,Poland
32020836,China
32456959,
32218554,
32592845,India
32901123,India
32647382,India
32620180,India
32439309,Madrid
32593457,UK
32353523,Italy
32744616,USA
32557405,India
32197059,India
32491984,India
32202993,India
32531794,India
32581183,
32330112,
32387541,
32511089,
32794465,India
32696811,China
32353547,Niger
32540743,Ireland
32275309,
32620179,
32156329,Germany
32863755,India
32880571,Portugal
33135082,Italy
32768974,China
32228809,China
32835154,UK
32496536,USA
32053579,USA
32556552,Deutschland
32163030,Deutschland
32267220,Deutschland
32518343,Deutschland
32037389,China
32515379,
33029005,
33023703,USA
33009893,Greece
32764417,Italy
32357381,Singapore
32290904,United Kingdom
32703896,USA
32843755,USA
32228322,
32586739,Egypt
32915061,USA
32744711,Iran
32733765,Iraq
32433015,Iraq
32306616,China
32530163,China
32401577,USA
32479958,China
32511316,USA
32553545,Japan
32931726,Japan
32399755,Italy
32663789,United Arab Emirates
32316713,China
32323499,China
32433907,China
33051397,
32617987,India
32280053,UK
32464271,Kuwait
32497001,Kuwait
32243255,Kuwait
33074107,France
32343223,France
32303807,France
33264436,Brazil
32535294,Turkey
32674732,Brazil
32336398,
32311451,China
32413344,Australia
32739174,India
32392330,Georgia
33106620,Georgia
32660218,Canada
32523073,Canada
32824767,
32778421,Canada
32777699,
32840560,India
32926404,UK
32693757,
32731911,
32289366,India
32489175,Switzerland
32761081,
32548652,UK
32338613,Italy
32493627,India
32456506,USA
33100263,
32849647,France
32357206,Georgia
32046815,Netherlands
32592841,Iran
32967849,Texas
32515402,
32118533,
32928234,China
33133071,India
32633712,India
32620177,India
32249257,Japan
32932534,Brazil
32672531,Brazil
32396504,Brazil
32360231,Australia
32292802,India
32623442,India
32845192,China
32761223,
32580969,India
32495654,UK
32391440,UK
32378854,UK
32392125,UK
32593062,India
32846165,China
32600045,Pakistan
32585913,USA
32756872,Texas
32427517,USA
32907595,USA
32360581,Egypt
32227493,
32335233,United Kingdom
32645175,USA
32516772,Italy
33133042,United States
32322400,Yemen
32432960,USA
32574139,USA
33073955,USA
32035510,China
32156332,
32967801,Denmark
32888169,UK
32166128,China
32945021,Iran
32386056,Italy
32519117,UK
32313463,Texas
32985211,Texas
32702272,United Kingdom
33024333,United Kingdom
32300101,China
32491983,China
32667283,China
32807416,Italy
32457527,Italy
32782374,Italy
32426928,Italy
33182073,Australia
32575076,Denmark
32023340,Canada
32315282,Canada
32553063,Germany
32515380,
32667282,
32243607,China
32679185,Italy
32341143,USA
32414716,UK
33184809,India
32511312,India
33147014,Canada
33050982,Canada
32893532,China
32405086,
32837219,India
33064680,Mexico
32294858,China
32610036,China
32350226,Japan
32434058,India
32652520,Saudi Arabia
32840606,Japan
32700510,
32522074,China
32383638,China
32780854,Italy
32266498,Italy
32437797,India
32750131,UK
32531256,China
32811800,India
32705222,China
32268188,USA
32286678,China
32129842,USA
32979405,Australia
32476793,China
32734860,United States
32614767,United States
32329276,China
32265571,China
32286913,China
32321823,USA
32164084,USA
32639941,Italy
32393875,Italy
32579877,Italy
32946292,Brazil
32788071,USA
32726200,USA
32441243,USA
32872802,Spain
32301749,Italy
32470237,China
33041212,Singapore
32571533,UK
32412790,
32347435,China
32360606,Turkey
32430086,China
32691843,United Kingdom
32934678,China
32536632,China
32645276,
32820801,Brazil
32341442,Japan
33135928,China
32721922,Singapore
32246783,China
33030333,Pakistan
32234453,China
32526085,Italy
33130396,Italy
32547039,China
32273156,Texas
32553070,Texas
32749957,Texas
32690859,
32462695,China
32849619,Brazil
32515374,
33161739,
32168463,
32564046,Poland
33211430,
32946370,
32679426,Italy
32558285,Italy
32822289,Italy
32673567,Germany
32418947,Japan
32412088,UK
32366720,Korea
32281335,China
32053479,China
32249203,USA
32544053,USA
32380230,United Kingdom
32468851,Italy
32568679,Turkey
32400364,Finland
32367431,China
32844739,China
33182040,India
32125269,India
32591654,USA
32496242,India
32820941,USA
32405023,USA
32234131,China
33099370,Turkey
32290905,Sweden
32170806,China
32301968,UK
32621814,China
33139913,China
32310914,
32450629,China
32285862,Mexico
32414646,France
32610037,France
32914439,China
32241022,China
32226290,China
32974268,Italy
32283283,China
32226289,China
32669221,China
33051389,
32793245,Denmark
32701763,
32969369,Nepal
32806708,Germany
32534188,
32134381,
33211425,
32075877,Texas
32187834,Italy
32353114,USA
32927142,Pakistan
32826162,Italy
33185755,Poland
33211429,
32265568,
32712300,China
32978832,India
32719902,
32305589,India
32822060,USA
32773996,USA
32453686,USA
33051390,
32197085,China
32295324,China
32412896,China
32422426,Italy
32489029,China
33100290,China
32384045,China
32362243,India
32419272,Taiwan
32267826,Taiwan
32143990,China
32004066,China
32204922,
32710732,
32350227,Japan
32229159,China
32651224,UK
32416993,USA
32353545,China
32543705,India
33099570,Grenada
32317256,USA
32690382,Italy
32933536,Qatar
32633997,
33077340,USA
33138262,Australia
33118529,USA
32579306,
32281583,China
32878481,Greece
32528612,Sierra Leone
32482366,
32855181,USA
32518103,Spain
33070902,Italy
32389373,China
33161414,China
32489177,Germany
33144494,China
33085639,Portugal
33048448,Texas
32571582,Italy
32466999,Portugal
32857119,Canada
32275498,Canada
32896179,India
32696862,
32027035,China
33058643,France
33008774,USA
32401043,
32470316,
32515376,India
33162939,Germany
32350048,USA
32491829,India
32025790,China
32559285,Italy
32229802,Korea
32578263,India
32187818,Germany
32336594,Japan
32576386,USA
32903227,Turkey
32755724,Japan
32051073,Japan
32319792,
32437077,Australia
32147715,Texas
32761155,
32325121,Colombia
32425000,China
32414838,Texas
32911389,Germany
32604015,India
32883550,France
32412897,France
32499172,Dominica
32731258,USA
32801640,China
31967321,China
32667047,Poland
32141619,China
32450264,United Kingdom
32780376,
32450197,Taiwan
32605577,Italy
33061265,Nepal
32992235,USA
32633713,USA
32192233,
32194980,USA
32965011,Pakistan
32459984,Pakistan
32227186,Sweden
32387967,Italy
32303565,USA
32419737,France
32639930,France
32534946,India
32843531,USA
33123896,China
32387682,China
32620182,USA
32491919,
33034398,Italy
32914746,
33037564,India
32780856,France
32860499,USA
33167796,USA
32883938,India
32389618,China
32428207,
32409230,India
32332911,India
33017386,
33109839,Cuba
32805728,China
32275742,
32672025,USA
32579100,Brazil
32588589,Poland
32698095,Spain
32623068,
32600805,USA
32723432,USA
32610110,Italy
32168465,Italy
32790273,Italy
32535232,China
32845609,Argentina
32283498,India
32430094,UK
32521222,UK
32048815,China
32169673,China
32312365,China
32745181,
33173224,
32662981,United Arab Emirates
32083831,Italy
32677846,Ireland
32199182,Brazil
32387864,
32396505,
32479856,Jordan
32825963,Iran
32430279,India
32608335,China
32629875,USA
32869227,
32920233,China
32347791,
33070911,United States
32687696,United States
32843530,USA
32556078,
32469258,Germany
33064159,
32771637,China
32330766,Spain
32450246,Pakistan
32741218,Canada
32967479,UK
32972810,Brazil
32536344,Italy
32434337,Italy
33083934,Iran
33073946,Iran
32302706,China
32172672,Hong Kong
32911161,Zimbabwe
32447571,Texas
32504135,Spain
32276848,China
32339092,China
32898468,India
32416600,Netherlands
33080785,USA
32425208,USA
32581071,China
32585611,India
32894971,Iran
32515384,India
32929665,Israel
32628969,Italy
32758625,India
32779342,Japan
32607866,India
32683333,Italy
32917294,Italy
32651975,China
32410788,Spain
32168464,Spain
33078141,Italy
32502117,Taiwan
32496247,India
32768565,France
32438898,France
32900263,Spain
33120941,USA
32334862,France
32443683,Italy
32553834,
32729732,Italy
32146554,USA
32463446,China
32525650,United Arab Emirates
32344305,Greece
32446287,Canada
32896175,China
32225178,Italy
32556942,USA
32753137,Australia
32551877,USA
32972153,USA
32381641,USA
32545412,Australia
32380453,Iran
33101306,Canada
32946224,Taiwan
32321656,
32563814,India
32794675,China
32981233,China
32445924,Australia
32729064,India
32652166,UK
32446722,Japan
32921710,Italy
32681983,Canada
32295237,Italy
32529866,India
32315667,USA
32507543,USA
33042114,United States
32624257,
32511335,Texas
33141814,Chile
32595955,Japan
32723430,Japan
32587443,Turkey
32800893,Spain
32973779,United States
32293832,Turkey
32540827,Turkey
32829985,Belgium
32329811,China
32164424,Hong Kong
32652139,Iran
32687997,United Arab Emirates
32370558,Trinidad and Tobago
32336243,USA
32414641,Hong Kong
32663073,Netherlands
32405838,Deutschland
32700434,USA
32290902,Denmark
32447695,
32205073,China
32142885,China
32442210,China
32770412,USA
33128861,USA
32275497,USA
32067043,China
32168162,
32948871,Italy
32839951,India
32335585,Nepal
33128877,USA
32357072,USA
32422178,UK
32776761,
32361409,Brazil
32044389,Colombia
32398624,
32763421,Italy
32605826,
32926211,Canada
32495576,China
32581077,United Kingdom
32542396,
32485273,Korea
32846080,Ireland
32730205,China
32031590,China
32129518,Israel
32706114,India
32191173,India
32120312,China
32284092,China
32807916,China
32281334,China
32821086,Iran
32884676,Colombia
32234457,United States
32801048,Italy
32476796,United States
32286790,United States
32424327,France
32487283,France
32358689,Italy
32361692,France
32852265,France
32685022,China
32234150,China
32864699,
32170559,China
32657278,China
32218558,Canada
32487681,UK
32850116,Australia
32754164,Germany
32725449,Russia
32721199,China
32111114,China
32496243,India
32348111,
32362004,India
32636103,Australia
32619011,
32035511,Switzerland
32024976,China
32379723,United States
32340751,
32495226,Chile
32419524,Taiwan
32715925,China
32687681,Egypt
32321620,Pakistan
32771639,Italy
32659713,France
32852264,France
32410737,China
33034653,China
32530389,Malaysia
32692733,USA
32482123,Italy
32436948,Italy
32406985,Texas
32622008,Colombia
32459003,USA
32449297,USA
32639848,China
32270559,Italy
32297805,Iran
32044388,Portugal
32901580,USA
32673476,Poland
32317220,Italy
33087872,Italy
32871694,China
33115460,China
32550705,
33115586,Saudi Arabia
32850506,China
32447121,Italy
32324359,
33236799,Spain
33023358,USA
32250049,Italy
32893646,India
32278619,Italy
32768223,United States
32344226,India
32943329,
32847856,China
32544431,China
32599407,China
32437696,China
32829936,USA
32220275,China
32212122,China
32326602,USA
32726417,Netherlands
32552455,
33064630,China
32314559,China
32619956,China
32514623,USA
33130799,Poland
32266937,Portugal
32805566,Iran
32600909,Germany
32639942,
33168971,
32822290,
32943587,France
32719687,France
32493868,
32507520,
32863070,Japan
32201353,China
32504021,China
32652529,UK
32603424,
32548166,China
32661878,France
32835046,
32857134,USA
32554535,Bosnia and Herzegovina
33054445,USA
32511308,USA
32679425,China
32631826,Spain
32174129,
32396506,
32676882,Italy
32007145,China
32333619,USA
32556553,Deutschland
32315281,Deutschland
32554029,Iran
32395920,
32946369,
32693298,Colombia
32463475,
32655580,Italy
32734854,Italy
32710986,USA
32271722,USA
32563194,China
32358956,China
32291082,China
32232545,UK
32515369,
32731276,
33125580,Austria
33101213,Italy
32345527,Italy
32251634,Egypt
32609644,China
32286214,
32245835,China
32633022,USA
32903225,Niger
32254054,New Zealand
33112124,Iran
32286679,Poland
32347200,Netherlands
32254048,New Zealand
32360126,USA
32988431,India
32473012,China
32542743,USA
32512376,Japan
32187007,Japan
33138906,Japan
32660668,China
32422545,USA
32612615,Colombia
32204754,Colombia
33000129,UK
32693122,Brazil
32326426,France
32350047,USA
33052573,India
32762609,USA
32579012,
32390132,CAN
31997390,China
32950466,France
32859864,India
32833671,China
32432217,
32536564,USA
32332516,Taiwan
32688068,Slovenia
32335339,China
32758821,USA
32242828,China
32438005,Mexico
32335336,USA
33119980,
32970553,
32574446,
33002954,China
32880484,India
32620181,India
32715628,Netherlands
32343686,Netherlands
32643218,Mali
32940547,Taiwan
32504748,Switzerland
32722927,China
33194949,Taiwan
32416412,China
32597750,China
32484887,
32298246,
32562790,USA
32484860,
32311760,USA
32462744,France
32360409,Libya
32317434,India
32496872,Italy
32717345,India
32966970,Australia
32427334,USA
33096796,Spain
32463086,Singapore
32706417,China
32633728,China
32376043,China
32507518,Spain
32459081,Spain
32444223,Italy
32516108,Italy
33275483,China
33139909,China
32725744,China
32853319,Chile
32073631,China
32092483,USA
32614251,Turkey
32739876,Germany
32540458,Netherlands
32753110,
33009240,Taiwan
32475066,Canada
32003551,Germany
32786014,USA
32394689,Turkey
32610107,France
32560765,China
32174267,China
32852058,Germany
32496249,India
32650948,Germany
32868217,
32464333,Italy
32084674,China
32871990,China
32574283,Spain
32549071,Germany
33116089,Bangladesh
32776617,
32666092,Texas
33172223,
32212058,China
32562764,Turkey
32945160,Turkey
32406369,
32667578,Brazil
32844172,Italy
32693711,China
32488957,USA
33177213,Japan
33194964,Brazil
32850265,
32469633,USA
33209174,Niger
32793246,Morocco
32340120,
32681782,Thailand
32230900,China
32515685,China
33090430,China
33064690,Mexico
32786890,Brazil
32568102,China
32780809,Georgia
32952121,China
32800515,Austria
32896880,Saudi Arabia
32707511,Germany
32317408,
32736832,Saudi Arabia
32414839,USA
32392945,China
32329877,Iran
32878468,Argentina
32526208,China
32877828,Iran
32356298,
32870435,China
32542238,France
32461418,India
32374840,Israel
32406140,Australia
33255989,Saudi Arabia
32297519,Croatia
32924740,Croatia
32531235,China
32827705,Texas
32649864,France
32304747,USA
32628976,Japan
32371536,
32711296,Italy
32439817,
32150527,
33096966,Croatia
32601020,USA
32786117,USA
33071007,USA
32003000,Italy
32887957,Italy
33040043,
32366198,USA
32796928,USA
32317431,India
32458193,China
32335175,Italy
33117480,Morocco
32361161,China
32500199,Germany
33072124,United States
32294574,Australia
32529116,Netherlands
32381643,USA
32428864,Iran
32940573,India
32836010,Italy
32321369,China
32838605,Korea
32773101,USA
32971311,Texas
32687917,USA
32893295,
32369628,UK
32305401,
32147407,India
32433180,India
32482633,China
32585619,China
32088678,Canada
32634217,Canada
32406374,Spain
32835738,Chile
32623037,Turkey
32420955,
32248146,Italy
32286155,China
32305488,Belgium
32833376,USA
33084885,China
32841929,United States
32507401,Saudi Arabia
32711111,India
32792369,
32428957,
32652240,Austria
32651586,USA
32336007,Italy
32339304,USA
32640861,Canada
32400380,
32778630,Indonesia
32493597,
32400323,Greece
32748212,China
32348048,
32703897,USA
32655584,Ethiopia
32473727,UK
32507883,Brazil
32745172,Korea
32703502,Germany
33211431,
32952832,Niger
32552044,India
32388469,USA
32870054,Ghana
32364358,
32718896,USA
32388480,India
33216154,Germany
32525853,Germany
32709547,Italy
32307245,Taiwan
32873974,Taiwan
32852642,Greece
32516204,USA
32969975,Hong Kong
32374000,China
32555446,China
32332061,USA
32924965,
32386901,France
32320641,France
32425461,Italy
32584420,Estonia
33067384,Germany
32707537,Texas
32692408,USA
32592581,USA
32403977,UK
32242831,Italy
32277022,Slovenia
32349133,Italy
32791241,Canada
33012858,Canada
32592817,China
32960167,France
32765844,India
33054907,India
32568543,Germany
33084340,China
32388332,Greece
32658854,
32145714,China
32438328,Indonesia
32653420,
33073969,
32504745,China
32650953,USA
32417248,Italy
33105869,Finland
33145015,India
32580461,Italy
33108884,Italy
32760050,Italy
32283099,Japan
33143660,Japan
33199333,UK
32674791,
32537839,USA
32902849,
32402090,Portugal
32849650,China
32284276,
32648313,Australia
32156330,
33104993,Pakistan
32388472,China
32387345,Australia
32835047,
32350106,Italy
32347618,Turkey
32576359,China
32944885,Ireland
32228808,Ireland
33154236,
32175797,Singapore
32840663,Deutschland
33150218,Italy
33186866,Iran
32406381,Germany
32425251,Spain
32298227,Spain
32581081,United Kingdom
32951627,China
32790309,Sweden
32544911,Switzerland
33071005,Italy
32849655,Germany
32298228,Germany
32425338,Iran
33035564,
32698440,Korea
32450165,India
32217113,Singapore
32306047,China
32865603,Deutschland
32032529,UK
32921711,
32649229,
32362062,China
32486534,China
32380337,Italy
32690876,
32876900,USA
32616030,China
32497651,Australia
32794460,Turkey
32412044,
32627759,Malaysia
32663490,China
32444354,Georgia
32088679,Canada
32490524,Australia
32449639,France
32863274,Germany
32965014,China
32726441,Switzerland
32686774,
33075724,USA
32490726,Italy
32348051,
32658736,USA
32433448,
33054582,China
32474399,Australia
32344166,UK
32441248,
32265202,China
32544735,Taiwan
32329026,Italy
33174705,
32746653,China
32419024,Iran
32534140,China
33030200,Switzerland
32826580,
32829053,China
32858870,Germany
33049061,China
32937615,
33046353,
32320066,India
32735883,Turkey
32438473,Netherlands
32408070,Germany
33017906,USA
32389784,France
32835045,
32535078,India
33174859,United Kingdom
32954708,Bulgaria
32111262,China
33164751,
32762581,Iran
32424314,
32805179,
32335170,China
32543691,China
32437541,UK
32022370,Texas
32062645,China
32900176,China
32768790,India
32399954,France
32738881,
32662342,Texas
32388162,China
32043983,UK
32209381,China
32682041,Iran
32059800,Italy
33048213,
32563698,Taiwan
33050264,UK
32259400,
32302955,China
32621497,Cyprus
32364527,China
32405842,Deutschland
32379913,Italy
32777441,India
32360605,Poland
32768702,China
32753109,Madrid
32035533,China
32172546,China
32971697,India
32201354,France
32768700,USA
32320742,Israel
32698732,Iran
33091088,Saudi Arabia
32903196,United Kingdom
32657527,USA
32859496,China
32814955,
32783878,Japan
32238223,Thailand
32251798,China
32305500,United States
32278300,China
33109794,India
33092458,Saudi Arabia
32562792,Greece
32681280,Italy
32968304,Nepal
32229155,
32354081,Italy
32583654,Spain
32528619,Niger
32594820,Italy
32320825,Egypt
32606133,Netherlands
32803631,Italy
32505658,United Kingdom
33204411,India
32535077,India
32746481,India
32758929,Japan
32957828,Italy
32496967,UK
32423285,USA
32495914,China
32546606,USA
32462195,
32354537,
32320516,China
32425223,Spain
33080426,USA
33158126,Italy
32697082,France
32593648,Italy
32569751,United States
32257174,
32835962,Italy
32553928,Mexico
32633770,
32387617,Taiwan
32592396,China
32462375,Germany
32386473,
33140636,India
32309267,France
33150978,China
32673837,India
32639228,India
32854262,UK
32746637,Korea
32920452,USA
32505774,USA
32380315,Israel
32525726,Spain
32589600,Italy
32846177,India
32459123,USA
33211434,
33119251,Pakistan
32727933,China
33102669,
32628534,
33035153,
32324284,Switzerland
32342873,Singapore
32699423,Poland
32147538,China
32035269,USA
32232322,USA
32816669,
32520340,
32474093,Morocco
32432918,
33000221,UK
32866436,Brazil
32771636,Slovenia
32912716,Spain
31994738,Italy
32839585,Italy
32133833,China
32723801,
32955901,
32538098,Ireland
32390064,USA
32376627,China
32281695,China
32903476,United Kingdom
32240718,China
32550245,China
32656668,Russia
33197346,USA
32470604,Taiwan
33052342,Taiwan
32888056,China
32325276,China
32569635,China
32619003,USA
32412509,Madrid
32360729,
32447675,
33155251,China
32579957,China
32427569,
32495575,China
32815352,China
32705906,Italy
32282922,Mexico
32480226,Iran
32683342,India
32133578,China
32665127,Italy
32348485,China
32322935,
32719750,China
32535768,USA
32236815,China
32645174,USA
32867625,China
32298218,Texas
32540456,Korea
32554043,China
32736389,China
32683837,Spain
32373998,China
32219845,China
32405840,Deutschland
32376402,Italy
32866435,Brazil
32402577,
32767055,Italy
32460210,United States
32731282,United States
32179150,France
32823138,Mexico
32297317,Singapore
32342636,Italy
32240079,Italy
32395897,China
32612613,Greece
33211439,
32544725,Italy
32663741,
32759459,Germany
32627126,India
32623083,Qatar
32735547,United Kingdom
32983179,France
32723450,India
32320384,China
32213760,Argentina
32359227,Italy
32631687,France
32544429,India
33070603,India
33117391,United States
32681610,Ireland
32435870,USA
32428809,Italy
32419533,Australia
32548601,Australia
32989587,Italy
32568277,France
32970607,Italy
32883510,CAN
32691730,CAN
32763826,China
32551855,USA
32499154,India
32712272,UK
33109027,Pakistan
32382120,Pakistan
32285380,China
32958250,Japan
33012537,
32731281,
32391022,Singapore
33154346,
32232433,China
32543262,Singapore
32338155,China
33036611,Italy
32479865,Belgium
32458760,South Africa
32919255,Netherlands
32422062,
32507556,France
33127886,Egypt
32697597,Australia
32911317,Japan
32780290,China
32683438,Italy
32784241,UK
32459191,Switzerland
32673193,Switzerland
32979913,Iran
32811514,Texas
32425010,China
33099241,Korea
32662416,Portugal
32204753,China
32441299,India
32456461,USA
